1126094;591785
1016088;657108
507660;694891
1506734;1543768
983020;513327
719669;1522845
1583063;778333
953491;557961,601549
457178;72908
1079094;803280
343615;544221
1015449;673970
1050853;764155
163822;118861
22368256;811773
1175576;829116
1262641;882127
511055;734588
212280;807865
63499;53912
412004;890866
26699;157466
1285300;1137406
208232;1425131
395731;1059905
1411652;1027952
977315;717154
77998;1518143
160211;269244
1171204;705254
511294;941931
725053;700875
73438;373378
814687;1050860
1559994;1287787
307108;438781
421057;460734
1390445;1003213
785331;931978
271690;324878,578564
719838;26406
60198;673882
404404;522404
453512;798714
944575;1254873
816326;905368
196178;460455
1100639;714573
1571409;918143
620615;712734
280916;211641
610683;1078303
415292;1450250
688545;1320098
389787;579266,605582
456581;879672
338079;767177
359569;869587
509753;971354
995429;1236497
591094;1057262
464761;607055
1548915;1389252
1221831;964271
1528615;1564660
37205;386803
222455;1053202
925471;1102960
30594;182954
829944;1309740
847201;1276979
1298546;1046816
1351465;1201691
958044;975205
1089015;1175977
953163;767514
634032;1423473
103131;390523
44740;839244
9717944;691899
55744;99379
1068543;903877
353469;1100963
96456;239784
469375;841593
60481;1141784
951133;834455
297282;285496
243048;284428
1119558;1500225
856453;799502
1394909;1334795
1373949;386064
3902086;743646
111997;46220
456077;351717
1136550;625001
1183752;601185
194539;1085302
960894;1065291
395482;1193028
222319;212196
95525;1232802
148258;415902
436680;335588
646599;394327
457374;988645
1207163;296605
289775;4827
668551;712954
3668;452181,1303449
1321151;1540181
36169;792703
828610;1286044
426434;366435
553751;214248
96711;608820
7751;16795
1158322;1325423
1005866;1503063
116915;6366
1188549;258901
1468653;1378789
769888;1144475
769888;1144475
20596;1072200
730398;990769
5470;783937
282759;984000,1082542
82614;61712
287379;160917
333554;503993
1510083;1392543
357576;247675
1085004;51001
185985;352455
71370;1320630
316441;841361
316441;841361
316441;841361
1028407;1193658
51141;916905
1268093;932279
372852;15695
1479713;1368589
345019;708355
451045;671169
328508;837730
157821;1110113
145380;14609
120986;375842
1653081;1325408
361566;453154
845654;361647
477604;4828
1573967;975904
131053;285618
613573;749467
261027;527185
56850;57055
1178905;327224,332842,371319
928322;681324
979369;125663
133760;584821
53531;27025
606898;648439
123820;263251
653156;113887
4512310;1056499
748507;1520718
223185;755257
249048;592536,985030
249048;592536,985030
1379572;320750
192091;414260
755349;541742
12908;1246914
1665464;1137259
545502;561886,823427,844891,921896
916772;1480270
883127;1246954
1517727;912016
873584;1043233
1622290;1289777
818010;1060522
535257;1440662
1111852;263485
69009;613497
1005594;200807
12154;117474
84087;1946
711649;1001443
353357;387390,441935
366926;424273,426091,887512
353357;387390,441935
849136;1203736
877549;721269
1043027;960026
69591;349488
792292;781341
24641765;11137
1344021;1412025
965514;611036
730767;589828
1160699;1083138
78437;199781
116275;158594
22726;373986
1163470;845231
730717;1353981
725993;768859
1130688;1159050
179763;205185
367860;136892
343910;321090
954402;1440192
454825;749378
71530;187769
775851;237169
41545;106
858989;1554583
1054901;615052
748917;331025
20335;226701
137777;2730
612686;865555
61227;817898
1250837;831456,1233087
1164858;404347
1146412;1365324
636804;633184
63114;74020
95928;855184
822510;774086
1132582;1024911
740343;800152
1072598;962090
1280130;458793
849817;1538918
1087957;123204
318489;173677
1289487;1288860
167167;464609
1313787;1026598
820232;1008487
1159612;789250
440396;650806
240650;262162
810154;833569
1364479;1337140
1112270;562753
266275;574551
550182;169530
18248;430688
555009;571168
332609;494384
2843;486652
442725;1051303
461739;4120
342711;1365359
563872;972946
17264546;485787
132117;54538
1001246;1475214
663837;262852
620450;946152
125433;250575
612990;151123
1044642;793827,1022975
1297549;486508
63877;130371
1165106;1024066
1054123;977605
874059;2076
847163;791943
436003;583964
46833;76605
1487597;1373163
1102711;1130278
1535822;1077943
792435;380816
15138;110225
744775;316635,1066037
619743;584768
1259628;5314
1562625;1291791
1317337;1174641
1000022;532064
159719;1167239
198547;941579
719517;1056037
14895945;1492096
534002;1039872
1152484;523740
5751;316048
5751;316048
66577;132047
981726;622115
1255466;139187
30517;196012
76739;362253
1497639;1323736
1329664;1149259
10643;1074897
1184077;21778
1343643;1189987
1682199;449873
178023;1112477
329184;182232
516780;646768
949440;779076
334255;491947
212638;597750
1188878;229159,230392
