11,1666
29,67877
40,8973
52,2093
57,73
58,20973
60,48955
71,22147
72,22698
75,5748
77,50948
87,1195
106,12605
111,1831
114,724
121,9606
149,10743
156,12295
161,2756
173,621
183,1782
188,24120
198,9798
208,25983
265,1265
267,256154
274,26150
322,10099
338,40902
358,20690
390,3553
395,803
399,2435
400,347
410,5080
437,33013
448,2220
456,39395
457,9604
553,447
560,3375
582,135312
586,3365
598,42659
614,774
619,17847
629,8
648,7245
660,866
699,12460
712,13882
729,6899
755,7691
758,20662
767,11631
782,1489
799,3124
813,110422
825,108381
842,41159
845,1327
869,4307
878,4037
881,122
883,1516
893,590161
912,39411
946,15144
947,1128
949,2351
974,21395
1016,8241
1026,19318
1042,7079
1055,168
1063,1954
1081,772
1107,6490
1200,42735
1203,803
1214,1006
1238,903
1263,1298
1278,19829
1282,2021
1291,3333
1297,2770
1323,10665
1384,5381
1405,2286
1425,2315
1432,20261
1486,3340
1528,548
1537,1889
1546,6734
1554,40407
1573,1513
1574,22527
1585,39600
1691,1695
1694,101805
1720,674
1726,4110
1754,1959
1768,9620
1771,1667
1775,12549
1785,24390
1786,60024
1798,613
1800,509
1804,2013
1823,88
1851,1364
1864,61
1868,507
1882,6587
1891,17967
1900,4297
1912,11144
1915,4703
1946,27979
1969,6284
1985,91
2025,27314
2030,34557
2038,9189
2046,428
2056,2824
2066,3633
2075,1309
2076,1520
2115,2646
2131,13982
2168,7978
2213,5397
2214,75144
2220,1447
2238,39350
2250,533
2270,319
2272,1828
2310,882
2311,48
2327,1622
2339,2426
2368,36749
2384,4003
2443,46007
2448,175
2453,1557
2457,13254
2464,1490
2469,39079
2593,6214
2595,1288
2598,98057
2609,581
2619,1011
2642,349
2646,746
2652,3045
2653,10375
2667,1163
2671,5000
2688,100288
2696,12112
2697,4641
2726,4820
2727,583
2729,10129
2730,1251
2759,1256
2774,35535
2779,882
2799,8923
2812,6820
2820,9998
2836,3268
2843,926
2848,830
2867,1881
2873,221
2876,408
2908,38440
2911,2098
2947,6418
2958,10071
2967,2571
2968,41
2972,13252
3029,14926
3059,1123
3109,3489
3111,3277
3207,51136
3226,8062
3238,5351
3245,121
3285,554
3323,1283
3381,30953
3394,23193
3395,290
3404,3945
3410,21967
3415,17384
3436,1496
3439,1086
3453,1321
3461,9685
3467,3692
3528,1261
3572,4377
3608,4222
3619,13045
3624,3264
3663,186
3694,5669
3713,55159
3757,23128
3765,6641
3789,824
3797,10039
3827,68712
3850,25391
3896,1525
3904,3457
3913,591
3947,4557
3958,21
3971,411
3972,1429
4001,13122
4007,30235
4017,106
4040,5520
4046,305
4048,7592
4086,73994
4118,1409
4120,63352
4127,1000
4140,5531
4144,5011
4169,211
4187,368
4189,1407
4227,21558
4272,4522
4300,3437
4308,7057
4332,22667
4355,881
4500,8332
4558,5487
4582,826
4590,23042
4642,60254
4657,2662
4697,1945
4727,27245
4735,502
4747,4587
4827,89
4828,9625
4835,796
4839,541
4870,562
4897,1379
4911,2141
4927,3938
4953,31
4977,25828
4986,66
4995,2294
5004,6170
5017,36548
5152,1146
5193,1836
5210,7271
5221,163
5235,2146
5304,11727
5307,1
5314,28908
5341,5778
5353,28022
5355,6958
5358,433
5361,179
5434,496
5458,1596
5558,303
5562,503
5577,14899
5595,638
5616,4285
5627,6803
5643,857
5675,2412
5700,4786
5716,2115
5721,1124
5725,873
5728,60559
5731,39924
5738,431
5777,3806
5795,661
5799,508
5817,8238
5830,2786
5834,15638
6010,52821
6056,1705
6065,778
6068,93598
6072,704
6073,1259
6193,2540
6209,1029
6212,30273
6260,14869
6264,18287
6306,540
6326,19
6328,800
6329,11462
6330,67442
6363,141
6364,9694
6366,21027
6369,25506
6380,16159
6381,1680
6421,4278
6436,3051
6449,3689
6456,7789
6471,797
6488,1795
6489,1610
6512,26677
6524,29791
6541,301
6563,2644
6580,3727
6595,674
6600,5347
6605,1686
6616,1851
6678,9210
6713,5883
6716,9726
6726,12393
6755,4142
6760,42933
6803,349
6811,607
6812,843
6819,101075
6848,11685
6852,3409
6906,1135
6991,534
7001,998
7008,3865
7011,3257
7018,2036
7049,3048
7147,3255
7163,89
7223,690
7237,71
7252,534
7355,10160
7407,10871
7432,176057
7437,21398
7488,31766
7492,2593
7503,798
7518,2586
7525,820
7530,1309
7549,1741
7595,59724
7643,21606
7647,6908
7650,7054
7666,1744
7671,49080
7699,995
7700,900
7764,1483
7778,840
7834,7609
7894,25633
7946,1347
7952,2534
7961,5355
7980,10212
7985,1973
8019,61
8140,21
8151,5931
8206,142883
8224,915
8243,868
8252,3403
8264,692
8290,726
8325,27498
8357,16
8376,11998
8454,59298
8513,2322
8581,1149
8655,56204
8659,981
8675,3344
8683,9619
8686,19
8717,807
8724,1816
8728,1082
8802,1690
8805,866
8815,88758
8825,13392
8844,8090
8862,750
8912,20463
8925,1699
8942,3462
9022,3368
9094,3526
9121,1601
9137,5866
9143,3723
9198,182
9204,87866
9263,785
9269,8143
9275,4051
9337,114
9401,4945
9410,77534
9443,9630
9506,1235
9532,1219
9535,5207
9589,496
9611,44677
9621,198
9644,310
9645,1477
9706,1827
9750,77
9769,54
9805,3241
9815,43542
9822,7925
9832,4174
9840,3188
9843,1601
9883,2419
9900,3817
9944,1046
10032,1084
10067,191
10085,366
10088,5330
10093,7525
10115,4985
10141,27585
10154,164
10232,2254
10238,15367
10242,716
10272,4484
10275,357
10289,663
10311,24186
10322,22204
10369,8977
10389,5408
10442,451
10470,1696
10474,5463
10475,4267
10478,1243
10479,470
10515,348
10522,3872
10524,26
10590,176
10601,8830
10612,1914
10675,6313
10689,679
10700,169
10708,18492
10762,2840
10771,27367
10830,3540
10873,2853
10877,110
10956,41
11011,1063
11052,7644
11095,13945
11099,1211
11109,14116
11110,676
11137,2540
11183,96
11197,9117
11229,4511
11236,79072
11274,2906
11284,3088
11303,1736
11324,2408
11356,9816
11388,19696
11403,5438
11414,2744
11490,332
11507,3654
11543,26344
11559,2326
11562,1766
11563,343
11577,16032
11596,19384
11654,118388
11687,10858
11703,5622
11780,6316
11807,3326
11815,3990
11870,1063
11889,1762
11895,813
11926,42148
11992,15047
12015,66
12030,91990
12031,500
12171,8879
12195,20303
12234,2295
12367,2550
12388,21995
12442,2232
12449,38
12503,7922
12523,10807
12547,8563
12568,1386
12599,45
12647,71
12651,1239
12679,1042
12683,327
12706,721
12767,1937
12785,5611
12818,1592
12934,1264
12958,6913
13009,14720
13028,6428
13072,503
13139,3070
13169,17752
13179,863
13209,3127
13253,3572
13354,251
13379,24187
13421,594
13562,948
13604,2299
13627,110659
13636,875
13678,7248
13702,4257
13714,1448
13719,356
13747,1296
13749,243
13792,83911
13827,2169
13850,4201
13864,699
13876,822
13960,1516
13969,2180
13973,2988
13986,11723
14006,2330
14024,56
14064,3397
14065,177954
14102,4961
14106,407
14193,11705
14232,1586
14257,1645
14302,24846
14343,221245
14405,436
14521,3149
14540,6241
14609,250
14659,148
14660,75742
14664,884
14731,33326
14794,1320
14838,1681
14895,587
14985,2514
15061,10900
15066,5528
15128,51
15345,1221
15441,12648
15495,755
15619,16995
15661,5551
15695,7615
15743,935
15815,178
15842,11542
15851,1563
15901,4283
15935,238
15946,383
15961,959
15965,796
15987,753
15996,7136
16007,43638
16016,306
16023,907
16039,3984
16045,1659
16081,109
16148,31714
16185,7311
16204,7907
16340,12794
16351,1358
